Campaign name,Day,Amount spent (USD),Purchases,Purchases (click),Purchases (view),Purchases conversion value,Impressions
Advantage+ Shopping,2026-06-17,654.92,9,7,2,1236.86,97740
Prospecting - Broad,2026-06-18,910.11,13,11,2,1762.29,107440
Retargeting - 30d,2026-06-18,766.21,9,4,5,1209.86,70175
Advantage+ Shopping,2026-06-18,524.59,11,8,3,1577.38,103739
Prospecting - Broad,2026-06-19,745.64,12,10,2,1548.37,66551
Retargeting - 30d,2026-06-19,805.25,11,5,6,1433.03,97924
Advantage+ Shopping,2026-06-19,551.53,9,7,2,1189.28,72846
Prospecting - Broad,2026-06-20,875.86,11,9,2,1585.98,66252
Retargeting - 30d,2026-06-20,710.69,13,6,7,1787.41,81482
Advantage+ Shopping,2026-06-20,529.13,8,6,2,1044.18,45317
Prospecting - Broad,2026-06-21,1036.96,15,12,3,1924.56,62168
Retargeting - 30d,2026-06-21,732.94,9,4,5,1329.95,94261
Advantage+ Shopping,2026-06-21,609.87,9,7,2,1261.48,99307
Prospecting - Broad,2026-06-22,999.33,12,10,2,1540.12,119633
Retargeting - 30d,2026-06-22,793.7,9,4,5,1234.06,80505
Advantage+ Shopping,2026-06-22,619.1,10,8,2,1392.3,93108
Prospecting - Broad,2026-06-23,749.81,13,11,2,1883.57,71117
Retargeting - 30d,2026-06-23,816.28,13,6,7,1943.76,55113
Advantage+ Shopping,2026-06-23,632.91,9,7,2,1256.86,88324
Prospecting - Broad,2026-06-24,954.56,17,14,3,2141.66,102277
Retargeting - 30d,2026-06-24,795.13,10,5,5,1426.52,110103
Advantage+ Shopping,2026-06-24,538.46,10,8,2,1281.71,85316
Prospecting - Broad,2026-06-25,1035.98,14,11,3,1890.17,60865
Retargeting - 30d,2026-06-25,815.02,11,5,6,1619.06,51430
Advantage+ Shopping,2026-06-25,687.94,9,7,2,1184.75,99048
Prospecting - Broad,2026-06-26,936.27,13,11,2,1914.89,89388
Retargeting - 30d,2026-06-26,779.37,11,5,6,1485.87,84970
Advantage+ Shopping,2026-06-26,637.38,9,7,2,1135.32,56185
Prospecting - Broad,2026-06-27,1021.44,12,10,2,1792.98,80613
Retargeting - 30d,2026-06-27,814.73,11,5,6,1425.73,42051
Advantage+ Shopping,2026-06-27,518.28,8,6,2,1065.82,112129
Prospecting - Broad,2026-06-28,827.56,13,11,2,1918.71,68612
Retargeting - 30d,2026-06-28,628.66,13,6,7,1871.95,62661
Advantage+ Shopping,2026-06-28,644.77,9,7,2,1327.32,101677
Prospecting - Broad,2026-06-29,902.44,11,9,2,1558.78,97693
Retargeting - 30d,2026-06-29,738.38,14,7,7,2078.64,51275
Advantage+ Shopping,2026-06-29,592.99,10,8,2,1367.63,113601
Prospecting - Broad,2026-06-30,904.38,14,11,3,2034.32,113396
Retargeting - 30d,2026-06-30,784.14,10,5,5,1486.44,119879
Advantage+ Shopping,2026-06-30,679.16,8,6,2,1192.43,108711
