Name,Financial Status,Paid at,Currency,Total,Refunded Amount,Referring Site
#1040,paid,2026-05-02 12:00:00 +0000,USD,89.54,,https://www.google.com/
#1041,paid,2026-05-02 12:00:00 +0000,USD,154.94,,https://www.google.com/
#1042,paid,2026-05-02 12:00:00 +0000,USD,118.29,,https://l.facebook.com/
#1043,paid,2026-05-02 12:00:00 +0000,USD,111.03,,https://www.google.com/
#1044,paid,2026-05-02 12:00:00 +0000,USD,179.37,,https://www.google.com/
#1045,paid,2026-05-02 12:00:00 +0000,USD,155.56,,
#1046,paid,2026-05-02 12:00:00 +0000,USD,104.0,,https://l.facebook.com/
#1047,paid,2026-05-02 12:00:00 +0000,USD,195.62,,
#1048,paid,2026-05-02 12:00:00 +0000,USD,148.81,,https://www.google.com/
#1049,paid,2026-05-02 12:00:00 +0000,USD,75.29,,
#1050,paid,2026-05-02 12:00:00 +0000,USD,81.21,,
#1051,paid,2026-05-02 12:00:00 +0000,USD,72.06,,https://l.facebook.com/
#1052,paid,2026-05-02 12:00:00 +0000,USD,134.55,,https://l.facebook.com/
#1053,paid,2026-05-02 12:00:00 +0000,USD,155.89,,
#1054,refunded,2026-05-02 12:00:00 +0000,USD,163.9,163.9,https://l.facebook.com/
#1055,paid,2026-05-02 12:00:00 +0000,USD,72.72,,https://l.facebook.com/
#1056,paid,2026-05-02 12:00:00 +0000,USD,110.99,,
#1057,paid,2026-05-02 12:00:00 +0000,USD,174.17,,
#1058,paid,2026-05-02 12:00:00 +0000,USD,157.72,,
#1059,paid,2026-05-02 12:00:00 +0000,USD,125.58,,
#1060,paid,2026-05-02 12:00:00 +0000,USD,172.25,,https://l.facebook.com/
#1061,paid,2026-05-02 12:00:00 +0000,USD,157.48,,
#1062,paid,2026-05-02 12:00:00 +0000,USD,122.31,,https://www.google.com/
#1063,paid,2026-05-02 12:00:00 +0000,USD,82.17,,
#1064,paid,2026-05-02 12:00:00 +0000,USD,98.5,,https://l.facebook.com/
#1065,paid,2026-05-02 12:00:00 +0000,USD,123.28,,https://l.facebook.com/
#1066,paid,2026-05-02 12:00:00 +0000,USD,110.7,,https://l.facebook.com/
#1067,refunded,2026-05-02 12:00:00 +0000,USD,128.92,128.92,
#1068,paid,2026-05-02 12:00:00 +0000,USD,197.79,,https://l.facebook.com/
#1069,paid,2026-05-02 12:00:00 +0000,USD,92.62,,https://l.facebook.com/
#1070,paid,2026-05-02 12:00:00 +0000,USD,137.37,,
#1071,paid,2026-05-02 12:00:00 +0000,USD,183.72,,
#1072,paid,2026-05-02 12:00:00 +0000,USD,189.31,,https://l.facebook.com/
#1073,paid,2026-05-02 12:00:00 +0000,USD,112.91,,https://www.google.com/
#1074,paid,2026-05-03 12:00:00 +0000,USD,112.05,,https://l.facebook.com/
#1075,paid,2026-05-03 12:00:00 +0000,USD,166.32,,https://l.facebook.com/
#1076,paid,2026-05-03 12:00:00 +0000,USD,155.02,,https://www.google.com/
#1077,paid,2026-05-03 12:00:00 +0000,USD,122.54,,https://www.google.com/
#1078,paid,2026-05-03 12:00:00 +0000,USD,77.02,,https://l.facebook.com/
#1079,paid,2026-05-03 12:00:00 +0000,USD,155.78,,https://www.google.com/
#1080,paid,2026-05-03 12:00:00 +0000,USD,188.08,,
#1081,paid,2026-05-03 12:00:00 +0000,USD,126.89,,https://l.facebook.com/
#1082,paid,2026-05-03 12:00:00 +0000,USD,115.33,,https://l.facebook.com/
#1083,paid,2026-05-03 12:00:00 +0000,USD,88.23,,https://www.google.com/
#1084,paid,2026-05-03 12:00:00 +0000,USD,85.67,,https://l.facebook.com/
#1085,paid,2026-05-03 12:00:00 +0000,USD,145.35,,
#1086,paid,2026-05-03 12:00:00 +0000,USD,129.14,,https://www.google.com/
#1087,paid,2026-05-03 12:00:00 +0000,USD,189.5,,
#1088,refunded,2026-05-03 12:00:00 +0000,USD,113.45,113.45,https://l.facebook.com/
#1089,paid,2026-05-03 12:00:00 +0000,USD,121.71,,https://www.google.com/
#1090,paid,2026-05-03 12:00:00 +0000,USD,192.58,,https://l.facebook.com/
#1091,paid,2026-05-03 12:00:00 +0000,USD,162.02,,https://l.facebook.com/
#1092,paid,2026-05-03 12:00:00 +0000,USD,85.78,,https://l.facebook.com/
#1093,paid,2026-05-03 12:00:00 +0000,USD,88.19,,
#1094,paid,2026-05-03 12:00:00 +0000,USD,156.54,,https://l.facebook.com/
#1095,paid,2026-05-03 12:00:00 +0000,USD,82.51,,
#1096,paid,2026-05-03 12:00:00 +0000,USD,117.21,,https://www.google.com/
#1097,paid,2026-05-03 12:00:00 +0000,USD,151.49,,https://l.facebook.com/
#1098,paid,2026-05-03 12:00:00 +0000,USD,85.52,,https://l.facebook.com/
#1099,paid,2026-05-03 12:00:00 +0000,USD,159.03,,https://www.google.com/
#1100,paid,2026-05-03 12:00:00 +0000,USD,127.31,,
#1101,paid,2026-05-03 12:00:00 +0000,USD,173.5,,https://www.google.com/
#1102,paid,2026-05-03 12:00:00 +0000,USD,137.75,,https://www.google.com/
#1103,paid,2026-05-03 12:00:00 +0000,USD,143.42,,
#1104,paid,2026-05-03 12:00:00 +0000,USD,134.83,,https://l.facebook.com/
#1105,paid,2026-05-03 12:00:00 +0000,USD,111.31,,https://www.google.com/
#1106,paid,2026-05-03 12:00:00 +0000,USD,94.2,,https://l.facebook.com/
#1107,paid,2026-05-03 12:00:00 +0000,USD,165.12,,https://l.facebook.com/
#1108,paid,2026-05-03 12:00:00 +0000,USD,150.51,,https://www.google.com/
#1109,paid,2026-05-03 12:00:00 +0000,USD,132.58,,https://l.facebook.com/
#1110,paid,2026-05-03 12:00:00 +0000,USD,123.99,,https://l.facebook.com/
#1111,paid,2026-05-04 12:00:00 +0000,USD,166.23,,
#1112,paid,2026-05-04 12:00:00 +0000,USD,124.08,,https://l.facebook.com/
#1113,refunded,2026-05-04 12:00:00 +0000,USD,174.24,174.24,https://www.google.com/
#1114,paid,2026-05-04 12:00:00 +0000,USD,157.43,,
#1115,paid,2026-05-04 12:00:00 +0000,USD,174.84,,
#1116,paid,2026-05-04 12:00:00 +0000,USD,173.65,,
#1117,paid,2026-05-04 12:00:00 +0000,USD,155.15,,https://l.facebook.com/
#1118,paid,2026-05-04 12:00:00 +0000,USD,145.1,,https://www.google.com/
#1119,paid,2026-05-04 12:00:00 +0000,USD,155.0,,https://www.google.com/
#1120,paid,2026-05-04 12:00:00 +0000,USD,143.24,,
#1121,paid,2026-05-04 12:00:00 +0000,USD,102.58,,
#1122,paid,2026-05-04 12:00:00 +0000,USD,157.37,,
#1123,paid,2026-05-04 12:00:00 +0000,USD,178.08,,https://l.facebook.com/
#1124,paid,2026-05-04 12:00:00 +0000,USD,77.38,,https://l.facebook.com/
#1125,refunded,2026-05-04 12:00:00 +0000,USD,121.54,121.54,https://www.google.com/
#1126,refunded,2026-05-04 12:00:00 +0000,USD,162.29,162.29,https://www.google.com/
#1127,paid,2026-05-04 12:00:00 +0000,USD,153.17,,
#1128,paid,2026-05-04 12:00:00 +0000,USD,184.44,,https://l.facebook.com/
#1129,paid,2026-05-04 12:00:00 +0000,USD,131.56,,https://l.facebook.com/
#1130,paid,2026-05-04 12:00:00 +0000,USD,88.22,,https://www.google.com/
#1131,paid,2026-05-04 12:00:00 +0000,USD,189.44,,https://l.facebook.com/
#1132,paid,2026-05-04 12:00:00 +0000,USD,178.27,,
#1133,paid,2026-05-04 12:00:00 +0000,USD,133.77,,https://l.facebook.com/
#1134,paid,2026-05-04 12:00:00 +0000,USD,176.82,,https://www.google.com/
#1135,paid,2026-05-04 12:00:00 +0000,USD,198.91,,
#1136,paid,2026-05-04 12:00:00 +0000,USD,162.26,,https://www.google.com/
#1137,paid,2026-05-04 12:00:00 +0000,USD,86.37,,
#1138,refunded,2026-05-04 12:00:00 +0000,USD,80.05,80.05,https://www.google.com/
#1139,paid,2026-05-04 12:00:00 +0000,USD,135.68,,https://www.google.com/
#1140,paid,2026-05-04 12:00:00 +0000,USD,148.97,,https://l.facebook.com/
#1141,paid,2026-05-04 12:00:00 +0000,USD,82.88,,
#1142,paid,2026-05-04 12:00:00 +0000,USD,142.39,,https://l.facebook.com/
#1143,paid,2026-05-04 12:00:00 +0000,USD,73.0,,
#1144,paid,2026-05-04 12:00:00 +0000,USD,186.44,,https://l.facebook.com/
#1145,paid,2026-05-05 12:00:00 +0000,USD,105.15,,https://www.google.com/
#1146,paid,2026-05-05 12:00:00 +0000,USD,195.48,,https://l.facebook.com/
#1147,paid,2026-05-05 12:00:00 +0000,USD,199.95,,https://l.facebook.com/
#1148,paid,2026-05-05 12:00:00 +0000,USD,156.26,,https://www.google.com/
#1149,paid,2026-05-05 12:00:00 +0000,USD,84.75,,
#1150,paid,2026-05-05 12:00:00 +0000,USD,177.43,,https://l.facebook.com/
#1151,refunded,2026-05-05 12:00:00 +0000,USD,74.15,74.15,https://l.facebook.com/
#1152,paid,2026-05-05 12:00:00 +0000,USD,99.94,,
#1153,paid,2026-05-05 12:00:00 +0000,USD,142.22,,https://www.google.com/
#1154,paid,2026-05-05 12:00:00 +0000,USD,178.69,,https://www.google.com/
#1155,refunded,2026-05-05 12:00:00 +0000,USD,183.27,183.27,https://www.google.com/
#1156,paid,2026-05-05 12:00:00 +0000,USD,117.86,,https://l.facebook.com/
#1157,paid,2026-05-05 12:00:00 +0000,USD,98.14,,
#1158,paid,2026-05-05 12:00:00 +0000,USD,132.73,,https://www.google.com/
#1159,paid,2026-05-05 12:00:00 +0000,USD,125.99,,https://l.facebook.com/
#1160,paid,2026-05-05 12:00:00 +0000,USD,147.05,,https://l.facebook.com/
#1161,paid,2026-05-05 12:00:00 +0000,USD,128.57,,https://l.facebook.com/
#1162,paid,2026-05-05 12:00:00 +0000,USD,190.18,,https://l.facebook.com/
#1163,paid,2026-05-05 12:00:00 +0000,USD,85.0,,https://www.google.com/
#1164,paid,2026-05-05 12:00:00 +0000,USD,174.67,,https://l.facebook.com/
#1165,paid,2026-05-05 12:00:00 +0000,USD,93.5,,
#1166,paid,2026-05-05 12:00:00 +0000,USD,72.99,,https://www.google.com/
#1167,paid,2026-05-05 12:00:00 +0000,USD,97.74,,
#1168,paid,2026-05-05 12:00:00 +0000,USD,119.74,,
#1169,paid,2026-05-05 12:00:00 +0000,USD,101.82,,https://www.google.com/
#1170,paid,2026-05-05 12:00:00 +0000,USD,78.58,,https://l.facebook.com/
#1171,paid,2026-05-05 12:00:00 +0000,USD,73.99,,
#1172,paid,2026-05-05 12:00:00 +0000,USD,163.6,,https://l.facebook.com/
#1173,paid,2026-05-05 12:00:00 +0000,USD,196.58,,https://l.facebook.com/
#1174,paid,2026-05-06 12:00:00 +0000,USD,199.63,,
#1175,paid,2026-05-06 12:00:00 +0000,USD,114.34,,
#1176,paid,2026-05-06 12:00:00 +0000,USD,143.68,,https://l.facebook.com/
#1177,paid,2026-05-06 12:00:00 +0000,USD,111.26,,https://l.facebook.com/
#1178,paid,2026-05-06 12:00:00 +0000,USD,120.03,,https://www.google.com/
#1179,paid,2026-05-06 12:00:00 +0000,USD,190.47,,https://www.google.com/
#1180,paid,2026-05-06 12:00:00 +0000,USD,133.05,,
#1181,paid,2026-05-06 12:00:00 +0000,USD,124.36,,https://l.facebook.com/
#1182,paid,2026-05-06 12:00:00 +0000,USD,154.8,,https://l.facebook.com/
#1183,paid,2026-05-06 12:00:00 +0000,USD,91.87,,https://l.facebook.com/
#1184,refunded,2026-05-06 12:00:00 +0000,USD,179.42,179.42,https://www.google.com/
#1185,paid,2026-05-06 12:00:00 +0000,USD,115.97,,https://l.facebook.com/
#1186,paid,2026-05-06 12:00:00 +0000,USD,149.56,,
#1187,paid,2026-05-06 12:00:00 +0000,USD,175.45,,https://l.facebook.com/
#1188,paid,2026-05-06 12:00:00 +0000,USD,108.02,,https://l.facebook.com/
#1189,paid,2026-05-06 12:00:00 +0000,USD,72.54,,https://www.google.com/
#1190,paid,2026-05-06 12:00:00 +0000,USD,131.35,,https://l.facebook.com/
#1191,paid,2026-05-06 12:00:00 +0000,USD,195.37,,https://www.google.com/
#1192,paid,2026-05-06 12:00:00 +0000,USD,154.33,,
#1193,paid,2026-05-06 12:00:00 +0000,USD,146.04,,
#1194,paid,2026-05-06 12:00:00 +0000,USD,130.64,,https://www.google.com/
#1195,paid,2026-05-06 12:00:00 +0000,USD,90.2,,
#1196,paid,2026-05-06 12:00:00 +0000,USD,140.31,,https://l.facebook.com/
#1197,paid,2026-05-06 12:00:00 +0000,USD,104.58,,https://www.google.com/
#1198,paid,2026-05-06 12:00:00 +0000,USD,189.58,,https://l.facebook.com/
#1199,paid,2026-05-06 12:00:00 +0000,USD,155.55,,
#1200,paid,2026-05-06 12:00:00 +0000,USD,72.61,,https://l.facebook.com/
#1201,paid,2026-05-06 12:00:00 +0000,USD,86.65,,https://l.facebook.com/
#1202,paid,2026-05-06 12:00:00 +0000,USD,133.97,,
#1203,paid,2026-05-06 12:00:00 +0000,USD,123.42,,
#1204,refunded,2026-05-06 12:00:00 +0000,USD,160.82,160.82,https://l.facebook.com/
#1205,paid,2026-05-07 12:00:00 +0000,USD,119.6,,
#1206,paid,2026-05-07 12:00:00 +0000,USD,137.82,,https://www.google.com/
#1207,paid,2026-05-07 12:00:00 +0000,USD,123.92,,
#1208,paid,2026-05-07 12:00:00 +0000,USD,152.27,,https://l.facebook.com/
#1209,paid,2026-05-07 12:00:00 +0000,USD,185.26,,https://l.facebook.com/
#1210,paid,2026-05-07 12:00:00 +0000,USD,198.25,,
#1211,paid,2026-05-07 12:00:00 +0000,USD,189.1,,
#1212,paid,2026-05-07 12:00:00 +0000,USD,142.31,,https://l.facebook.com/
#1213,paid,2026-05-07 12:00:00 +0000,USD,186.45,,https://www.google.com/
#1214,paid,2026-05-07 12:00:00 +0000,USD,107.21,,
#1215,paid,2026-05-07 12:00:00 +0000,USD,72.36,,
#1216,paid,2026-05-07 12:00:00 +0000,USD,132.34,,https://l.facebook.com/
#1217,paid,2026-05-07 12:00:00 +0000,USD,156.19,,https://www.google.com/
#1218,paid,2026-05-07 12:00:00 +0000,USD,178.93,,https://www.google.com/
#1219,paid,2026-05-07 12:00:00 +0000,USD,197.83,,https://l.facebook.com/
#1220,paid,2026-05-07 12:00:00 +0000,USD,100.7,,https://www.google.com/
#1221,paid,2026-05-07 12:00:00 +0000,USD,134.66,,https://l.facebook.com/
#1222,paid,2026-05-07 12:00:00 +0000,USD,187.98,,
#1223,paid,2026-05-07 12:00:00 +0000,USD,122.65,,https://www.google.com/
#1224,paid,2026-05-07 12:00:00 +0000,USD,136.19,,https://l.facebook.com/
#1225,paid,2026-05-07 12:00:00 +0000,USD,192.89,,https://l.facebook.com/
#1226,paid,2026-05-07 12:00:00 +0000,USD,98.53,,
#1227,refunded,2026-05-07 12:00:00 +0000,USD,163.45,163.45,https://www.google.com/
#1228,paid,2026-05-07 12:00:00 +0000,USD,151.03,,https://l.facebook.com/
#1229,paid,2026-05-07 12:00:00 +0000,USD,184.52,,
#1230,paid,2026-05-07 12:00:00 +0000,USD,126.08,,https://l.facebook.com/
#1231,paid,2026-05-07 12:00:00 +0000,USD,103.23,,https://l.facebook.com/
#1232,refunded,2026-05-07 12:00:00 +0000,USD,79.04,79.04,https://www.google.com/
#1233,paid,2026-05-07 12:00:00 +0000,USD,139.14,,https://l.facebook.com/
#1234,paid,2026-05-07 12:00:00 +0000,USD,79.36,,https://www.google.com/
#1235,paid,2026-05-07 12:00:00 +0000,USD,75.2,,https://l.facebook.com/
#1236,paid,2026-05-07 12:00:00 +0000,USD,72.13,,https://l.facebook.com/
#1237,paid,2026-05-07 12:00:00 +0000,USD,97.34,,https://l.facebook.com/
#1238,paid,2026-05-07 12:00:00 +0000,USD,199.96,,
#1239,paid,2026-05-07 12:00:00 +0000,USD,137.1,,https://l.facebook.com/
#1240,paid,2026-05-08 12:00:00 +0000,USD,152.1,,
#1241,paid,2026-05-08 12:00:00 +0000,USD,87.97,,
#1242,paid,2026-05-08 12:00:00 +0000,USD,174.04,,
#1243,paid,2026-05-08 12:00:00 +0000,USD,171.34,,https://www.google.com/
#1244,refunded,2026-05-08 12:00:00 +0000,USD,134.61,134.61,https://www.google.com/
#1245,refunded,2026-05-08 12:00:00 +0000,USD,123.37,123.37,https://l.facebook.com/
#1246,paid,2026-05-08 12:00:00 +0000,USD,137.93,,https://l.facebook.com/
#1247,paid,2026-05-08 12:00:00 +0000,USD,195.57,,https://l.facebook.com/
#1248,paid,2026-05-08 12:00:00 +0000,USD,164.84,,https://l.facebook.com/
#1249,paid,2026-05-08 12:00:00 +0000,USD,131.71,,https://l.facebook.com/
#1250,paid,2026-05-08 12:00:00 +0000,USD,111.3,,
#1251,paid,2026-05-08 12:00:00 +0000,USD,109.95,,https://l.facebook.com/
#1252,paid,2026-05-08 12:00:00 +0000,USD,102.46,,https://www.google.com/
#1253,paid,2026-05-08 12:00:00 +0000,USD,144.18,,
#1254,paid,2026-05-08 12:00:00 +0000,USD,185.35,,https://l.facebook.com/
#1255,paid,2026-05-08 12:00:00 +0000,USD,157.74,,
#1256,paid,2026-05-08 12:00:00 +0000,USD,189.91,,https://www.google.com/
#1257,paid,2026-05-08 12:00:00 +0000,USD,131.55,,
#1258,paid,2026-05-08 12:00:00 +0000,USD,99.78,,https://www.google.com/
#1259,paid,2026-05-08 12:00:00 +0000,USD,135.72,,
#1260,paid,2026-05-08 12:00:00 +0000,USD,125.96,,https://l.facebook.com/
#1261,paid,2026-05-08 12:00:00 +0000,USD,90.71,,
#1262,paid,2026-05-08 12:00:00 +0000,USD,157.52,,
#1263,paid,2026-05-08 12:00:00 +0000,USD,184.49,,https://l.facebook.com/
#1264,paid,2026-05-08 12:00:00 +0000,USD,192.75,,https://l.facebook.com/
#1265,paid,2026-05-08 12:00:00 +0000,USD,74.18,,https://l.facebook.com/
#1266,paid,2026-05-08 12:00:00 +0000,USD,190.42,,
#1267,paid,2026-05-08 12:00:00 +0000,USD,87.74,,https://www.google.com/
#1268,paid,2026-05-08 12:00:00 +0000,USD,82.12,,
#1269,paid,2026-05-08 12:00:00 +0000,USD,126.97,,https://www.google.com/
#1270,paid,2026-05-08 12:00:00 +0000,USD,114.09,,https://l.facebook.com/
#1271,paid,2026-05-08 12:00:00 +0000,USD,163.89,,https://l.facebook.com/
#1272,paid,2026-05-08 12:00:00 +0000,USD,198.52,,https://l.facebook.com/
#1273,paid,2026-05-08 12:00:00 +0000,USD,79.39,,
#1274,paid,2026-05-08 12:00:00 +0000,USD,139.13,,https://l.facebook.com/
#1275,paid,2026-05-08 12:00:00 +0000,USD,91.38,,
#1276,paid,2026-05-08 12:00:00 +0000,USD,116.67,,https://www.google.com/
#1277,paid,2026-05-08 12:00:00 +0000,USD,177.61,,https://www.google.com/
#1278,paid,2026-05-08 12:00:00 +0000,USD,116.47,,https://l.facebook.com/
#1279,paid,2026-05-08 12:00:00 +0000,USD,128.34,,https://l.facebook.com/
#1280,paid,2026-05-08 12:00:00 +0000,USD,161.5,,https://l.facebook.com/
#1281,paid,2026-05-08 12:00:00 +0000,USD,153.4,,https://l.facebook.com/
#1282,paid,2026-05-09 12:00:00 +0000,USD,108.94,,https://l.facebook.com/
#1283,paid,2026-05-09 12:00:00 +0000,USD,153.62,,
#1284,paid,2026-05-09 12:00:00 +0000,USD,117.1,,
#1285,paid,2026-05-09 12:00:00 +0000,USD,80.82,,https://l.facebook.com/
#1286,paid,2026-05-09 12:00:00 +0000,USD,90.67,,https://l.facebook.com/
#1287,paid,2026-05-09 12:00:00 +0000,USD,101.99,,https://www.google.com/
#1288,paid,2026-05-09 12:00:00 +0000,USD,111.46,,https://l.facebook.com/
#1289,paid,2026-05-09 12:00:00 +0000,USD,126.2,,https://l.facebook.com/
#1290,paid,2026-05-09 12:00:00 +0000,USD,164.33,,https://www.google.com/
#1291,paid,2026-05-09 12:00:00 +0000,USD,167.07,,https://l.facebook.com/
#1292,paid,2026-05-09 12:00:00 +0000,USD,195.45,,
#1293,paid,2026-05-09 12:00:00 +0000,USD,151.4,,
#1294,refunded,2026-05-09 12:00:00 +0000,USD,124.46,124.46,https://l.facebook.com/
#1295,paid,2026-05-09 12:00:00 +0000,USD,81.35,,https://l.facebook.com/
#1296,paid,2026-05-09 12:00:00 +0000,USD,87.12,,https://www.google.com/
#1297,paid,2026-05-09 12:00:00 +0000,USD,195.43,,https://l.facebook.com/
#1298,paid,2026-05-09 12:00:00 +0000,USD,137.6,,https://www.google.com/
#1299,paid,2026-05-09 12:00:00 +0000,USD,193.85,,
#1300,paid,2026-05-09 12:00:00 +0000,USD,116.06,,https://www.google.com/
#1301,paid,2026-05-09 12:00:00 +0000,USD,159.72,,https://l.facebook.com/
#1302,paid,2026-05-09 12:00:00 +0000,USD,196.66,,https://l.facebook.com/
#1303,refunded,2026-05-09 12:00:00 +0000,USD,83.1,83.1,https://l.facebook.com/
#1304,paid,2026-05-09 12:00:00 +0000,USD,182.08,,https://l.facebook.com/
#1305,paid,2026-05-09 12:00:00 +0000,USD,150.01,,https://l.facebook.com/
#1306,paid,2026-05-09 12:00:00 +0000,USD,90.97,,
#1307,paid,2026-05-09 12:00:00 +0000,USD,140.85,,https://l.facebook.com/
#1308,paid,2026-05-09 12:00:00 +0000,USD,100.25,,https://l.facebook.com/
#1309,paid,2026-05-09 12:00:00 +0000,USD,97.11,,https://www.google.com/
#1310,refunded,2026-05-09 12:00:00 +0000,USD,179.67,179.67,https://l.facebook.com/
#1311,paid,2026-05-09 12:00:00 +0000,USD,164.96,,
#1312,paid,2026-05-09 12:00:00 +0000,USD,168.44,,https://l.facebook.com/
#1313,paid,2026-05-09 12:00:00 +0000,USD,174.96,,https://www.google.com/
#1314,paid,2026-05-09 12:00:00 +0000,USD,108.53,,https://www.google.com/
#1315,paid,2026-05-09 12:00:00 +0000,USD,77.39,,https://www.google.com/
#1316,paid,2026-05-09 12:00:00 +0000,USD,197.62,,
#1317,paid,2026-05-09 12:00:00 +0000,USD,147.22,,https://l.facebook.com/
#1318,paid,2026-05-09 12:00:00 +0000,USD,76.24,,https://www.google.com/
#1319,paid,2026-05-09 12:00:00 +0000,USD,175.28,,
#1320,refunded,2026-05-09 12:00:00 +0000,USD,196.57,196.57,
#1321,paid,2026-05-09 12:00:00 +0000,USD,83.86,,https://www.google.com/
#1322,paid,2026-05-09 12:00:00 +0000,USD,181.04,,
#1323,paid,2026-05-10 12:00:00 +0000,USD,157.07,,
#1324,paid,2026-05-10 12:00:00 +0000,USD,139.14,,https://www.google.com/
#1325,paid,2026-05-10 12:00:00 +0000,USD,190.93,,https://l.facebook.com/
#1326,paid,2026-05-10 12:00:00 +0000,USD,198.55,,
#1327,refunded,2026-05-10 12:00:00 +0000,USD,142.09,142.09,
#1328,paid,2026-05-10 12:00:00 +0000,USD,149.3,,https://l.facebook.com/
#1329,paid,2026-05-10 12:00:00 +0000,USD,137.36,,https://l.facebook.com/
#1330,paid,2026-05-10 12:00:00 +0000,USD,89.92,,
#1331,paid,2026-05-10 12:00:00 +0000,USD,109.9,,https://www.google.com/
#1332,paid,2026-05-10 12:00:00 +0000,USD,167.03,,https://l.facebook.com/
#1333,paid,2026-05-10 12:00:00 +0000,USD,152.45,,https://l.facebook.com/
#1334,paid,2026-05-10 12:00:00 +0000,USD,88.77,,https://www.google.com/
#1335,paid,2026-05-10 12:00:00 +0000,USD,82.54,,https://www.google.com/
#1336,paid,2026-05-10 12:00:00 +0000,USD,180.83,,
#1337,paid,2026-05-10 12:00:00 +0000,USD,129.76,,https://l.facebook.com/
#1338,paid,2026-05-10 12:00:00 +0000,USD,127.02,,https://l.facebook.com/
#1339,paid,2026-05-10 12:00:00 +0000,USD,151.88,,
#1340,paid,2026-05-10 12:00:00 +0000,USD,176.59,,https://www.google.com/
#1341,paid,2026-05-10 12:00:00 +0000,USD,120.68,,
#1342,paid,2026-05-10 12:00:00 +0000,USD,136.1,,https://l.facebook.com/
#1343,paid,2026-05-10 12:00:00 +0000,USD,116.1,,
#1344,paid,2026-05-10 12:00:00 +0000,USD,192.8,,https://l.facebook.com/
#1345,paid,2026-05-10 12:00:00 +0000,USD,150.6,,
#1346,paid,2026-05-10 12:00:00 +0000,USD,156.93,,https://l.facebook.com/
#1347,paid,2026-05-10 12:00:00 +0000,USD,117.64,,
#1348,paid,2026-05-10 12:00:00 +0000,USD,175.93,,https://www.google.com/
#1349,paid,2026-05-10 12:00:00 +0000,USD,157.11,,https://l.facebook.com/
#1350,paid,2026-05-10 12:00:00 +0000,USD,110.18,,https://l.facebook.com/
#1351,paid,2026-05-10 12:00:00 +0000,USD,117.02,,https://l.facebook.com/
